Date,DXY Curncy,EURUSD Curncy,XAU Curncy,SPA Index,MXWO Index,USGG10YR Index,USDCNH Curncy,INTC US Equity,AMD US Equity,NVDA US Equity,QCOM US Equity,TSM US Equity,XBTUSD Curncy,SPX Index,LG30TRUU Index,LGTRTRUU Index,LUATTRUU Index
17.12.2010,80.373,1.3188,1375.38,NA,1257.84,3.3279,6.653,21.46,8.1,14.37,49.46,12.69,0.24,1243.91,797,196.86,1839.53
18.12.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19.12.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20.12.2010,80.628,1.3131,1385.3,NA,1259.82,3.3358,6.6655,21.23,8.24,14.31,49.44,12.33,0.27,1247.08,797.56,197.31,1838.17
21.12.2010,80.718,1.31,1385.6,NA,1271.28,3.3031,6.6605,21.1,8.14,14.87,49.99,12.39,0.24,1254.6,798.85,197.39,1839.36
22.12.2010,80.727,1.31,1385.3,NA,1273.73,3.3458,6.6515,20.89,8.111,15.03,49.99,12.3,0.25,1258.84,799.41,197.54,1836.93
23.12.2010,80.522,1.3114,1380,NA,1273.48,3.3892,6.6475,20.84,8.04,14.92,49.44,12.23,0.25,1256.77,799.58,197.62,1832.74
24.12.2010,80.474,1.3122,1384.65,NA,1274.42,3.3933,6.6525,NA,NA,NA,NA,NA,0.25,NA,800.09,197.99,NA
25.12.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26.12.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27.12.2010,80.366,1.3165,1383.78,NA,1272.94,3.3294,6.637,20.84,8.05,15,49.61,12.31,0.27,1257.54,800.93,198.15,1836.33
