date,price,wikipedia,google,new_topics,new_posts,new_members,new_users,tweets
2015-12-24,442.7,4191.0,1.6978973407544835,655,8756,721,3944,23679.0
2015-12-25,454.47,2954.0,1.598021026592455,589,7758,815,4588,21240.0
2015-12-26,446.76,3676.0,1.6479591836734693,738,8706,896,3902,21795.0
2015-12-27,422.72,9421.0,1.6978973407544835,643,8912,920,9046,32284.0
2015-12-28,420.68,5099.0,1.6978973407544835,723,9057,1089,6339,31890.0
2015-12-29,422.21,5788.0,1.6479591836734693,619,9621,1331,6193,24417.0
2015-12-30,429.29,4921.0,1.6479591836734693,631,10120,857,8084,26654.0
2015-12-31,428.74,4094.0,1.4981447124304268,559,9173,706,4515,24012.0
2016-01-01,428.85,3369.0,1.4482065553494126,644,7990,889,5017,20122.0
2016-01-02,433.36,4209.0,1.4981447124304268,671,9484,957,4264,19715.0
2016-01-03,433.36,5347.0,1.4981447124304268,931,9499,1241,10103,19638.0
2016-01-04,428.82,6535.0,1.598021026592455,747,9212,911,5455,23308.0
2016-01-05,435.9,6309.0,1.6479591836734693,742,10368,1078,6674,27207.0
2016-01-06,432.62,5354.0,1.4981447124304268,644,10084,870,4360,24615.0
2016-01-07,430.49,6199.0,1.8477118119975262,665,10241,1049,8365,24700.0
2016-01-08,454.29,5337.0,1.797773654916512,815,10362,1282,3502,26040.0
2016-01-09,453.71,4003.0,1.598021026592455,684,9971,980,7244,20585.0
2016-01-10,447.46,4255.0,1.598021026592455,949,10220,1316,3903,20755.0
2016-01-11,447.29,5604.0,1.598021026592455,880,10744,1215,4708,23867.0
2016-01-12,448.09,5405.0,1.598021026592455,954,11111,1486,10874,27110.0
2016-01-13,442.4,5462.0,1.6479591836734693,920,11229,1531,2862,27094.0
2016-01-14,430.24,5450.0,1.598021026592455,803,10887,1312,4839,25568.0
