date	nTweets	googleSearch	wikiViews	totalTweets	nUsersFiltered	nUsersFilteredNet	nDownloads	nFBShares
2010-01-20	185	0	16	26651334	13075	965	0	0
2010-01-21	147	0	11	27496590	13198	975	0	0
2010-01-22	128	0	8	23739324	13288	979	0	0
2010-01-23	164	0	0	23285772	13398	983	0	0
2010-01-24	137	0	0	27104886	13489	987	0	0
2010-01-25	114	0	13	25615380	13647	995	0	0
2010-01-26	134	0	18	25996776	13781	1003	0	0
2010-01-27	114	0	16	25708152	13898	1011	0	0
2010-01-28	142	0	7	26764722	14026	1026	0	0
2010-01-29	167	0	11	24965976	14170	1036	0	0
2010-01-30	191	0	11	25362834	14324	1044	0	0
2010-01-31	104	0	10	26697720	14470	1055	0	0
2010-02-01	131	0	11	27053346	14638	1081	3	0
2010-02-02	151	0	23	27883140	14758	1094	10	0
2010-02-03	132	0	17	28197534	14968	1119	14	0
2010-02-04	150	0	22	28166610	15136	1140	10	0
2010-02-05	116	0	10	25960698	15308	1148	5	0
2010-02-06	112	0	16	24708276	15455	1158	11	0
2010-02-07	147	0	14	25857618	15642	1173	9	0
2010-02-08	90	0	0	27981066	15798	1188	4	0
2010-02-09	170	0	9	28233612	15956	1200	3	0
2010-02-10	189	0	15	29717964	16076	1205	12	0
2010-02-11	130	0	12	29846814	16201	1224	9	0
2010-02-12	153	0	15	26795646	16345	1237	12	0
2010-02-13	168	0	27	26996652	16539	1262	5	0
2010-02-14	132	0	12	28563468	16696	1285	7	0
2010-02-15	130	0	20	28692318	16822	1300	10	0
2010-02-16	132	0	20	29336568	16975	1316	9	0
2010-02-17	108	0	15	29403570	17147	1333	9	0
2010-02-18	134	0	20	31485786	17293	1348	14	0
2010-02-19	144	0	9	28867554	17436	1364	2	0
2010-02-20	185	0	39	28073838	17598	1379	13	0
2010-02-21	129	0	45	29486034	17753	1400	33	0
2010-02-22	105	0	23	29671578	17933	1423	26	0
2010-02-23	96	0	19	29491188	18121	1434	7	0
2010-02-24	109	0	20	29955048	18233	1441	9	0
2010-02-25	179	0	11	30279750	18335	1454	6	0
2010-02-26	176	0	8	27934680	18451	1468	3	0
2010-02-27	187	0	37	27908910	18579	1486	6	0
2010-02-28	181	0	16	30893076	18693	1495	7	0
2010-03-01	121	0	24	29501496	18833	1511	6	0
2010-03-02	117	0	9	30326136	18969	1526	9	0
2010-03-03	167	0	10	29748888	19071	1536	7	0
2010-03-04	165	0	12	30192132	19195	1554	4	0
2010-03-05	153	0	11	28511928	19309	1564	13	0
2010-03-06	197	0	20	27697596	19431	1575	6	0
2010-03-07	140	0	12	29764350	19560	1591	5	0
2010-03-08	120	0	11	30970386	19642	1599	4	0
2010-03-09	135	0	10	30125130	19742	1613	5	0
2010-03-10	138	0	9	29805582	19857	1628	2	0
2010-03-11	114	0	21	30537450	19948	1636	16	0
2010-03-12	178	0	16	28403694	20030	1644	8	0
2010-03-13	234	0	34	28347000	20147	1660	13	0
2010-03-14	189	0	15	30558066	20236	1668	8	0
2010-03-15	216	0	28	30970386	20334	1687	11	0
2010-03-16	256	0	9	31800180	20430	1700	4	0
2010-03-17	276	0	16	31609482	20530	1714	11	0
2010-03-18	213	0	22	32836134	20637	1738	12	0
2010-03-19	388	0	14	30253980	20738	1754	14	0
2010-03-20	223	0	14	30114822	20888	1773	11	0
2010-03-21	194	0	18	33186606	21022	1799	14	0
2010-03-22	212	0	19	33351534	21146	1824	12	0
2010-03-23	181	0	23	33506154	21291	1854	14	0
2010-03-24	238	0	18	32573280	21408	1875	6	0
2010-03-25	152	0	17	31846566	21541	1907	15	0
2010-03-26	230	0	16	31094082	21685	1939	9	0
2010-03-27	216	0	15	31604328	21817	1954	7	0
2010-03-28	111	0	14	32233116	21953	1970	1	0
2010-03-29	143	0	19	33578310	22082	1983	8	0
2010-03-30	149	0	16	33495846	22235	2006	6	0
2010-03-31	121	0	11	33140220	22382	2018	3	0
2010-04-01	186	0	13	33562848	22495	2038	10	0
2010-04-02	223	0	24	31171392	22602	2051	1	0
2010-04-03	174	0	6	31490940	22709	2063	11	0
2010-04-04	158	0	7	32258886	22837	2084	6	0
2010-04-05	131	0	13	33330918	22959	2110	7	0
2010-04-06	161	0	186	34165866	23072	2131	95	0
2010-04-07	156	0	20	34670958	23206	2148	8	0
2010-04-08	164	0	36	34402950	23349	2182	34	0
2010-04-09	179	0	78	32310426	23538	2248	117	0
2010-04-10	160	0	27	33078372	23779	2314	24	0
2010-04-11	152	0	26	32949522	23997	2383	17	0
2010-04-12	169	0	22	35279130	24185	2433	25	0
2010-04-13	145	0	35	34335948	24346	2479	23	0
2010-04-14	151	0	49	35784222	24503	2531	40	0
2010-04-15	169	0	124	35578062	24722	2590	35	0
2010-04-16	178	0	92	33109296	24882	2639	26	0
2010-04-17	209	0	59	33784470	25062	2684	22	0
2010-04-18	151	0	38	34335948	28335	2760	28	0
2010-04-19	122	0	29	33903012	28534	2816	11	0
2010-04-20	162	0	36	34521492	28705	2865	15	0
2010-04-21	137	0	30	34573032	28893	2919	17	0
2010-04-22	162	0	37	34134942	29027	2958	15	0
2010-04-23	150	0	39	32769132	29180	2990	24	0
2010-04-24	186	0	58	33227838	29314	3028	23	0
2010-04-25	158	0	44	33212376	29442	3062	12	0
2010-04-26	133	0	31	33098988	29597	3101	12	0
2010-04-27	139	0	40	37686048	29757	3141	8	0
2010-04-28	117	0	74	34784346	29905	3188	10	0
2010-04-29	406	0	50	34624572	30022	3223	11	0
2010-04-30	197	0	98	33738084	30140	3254	9	0
2010-05-01	195	0	39	33356688	30263	3292	15	0
