Date,New Topics,New Posts,New Members
22.03.16,594,10045,654
21.03.16,618,11520,738
20.03.16,532,10575,566
19.03.16,524,10190,620
18.03.16,651,11044,813
17.03.16,701,11076,857
16.03.16,656,11351,785
15.03.16,620,10658,709
14.03.16,419,10234,348
13.03.16,444,9570,478
12.03.16,602,9386,772
11.03.16,646,9713,801
10.03.16,592,9843,706
09.03.16,506,10511,549
08.03.16,480,10377,565
07.03.16,537,10278,660
06.03.16,493,9535,900
05.03.16,859,10795,1478
04.03.16,956,10486,1512
03.03.16,868,11479,1444
02.03.16,651,11066,1161
01.03.16,645,12144,1108
29.02.16,595,11053,981
28.02.16,520,10249,1030
27.02.16,664,10421,1411
26.02.16,681,11187,1408
25.02.16,545,11515,2876
24.02.16,572,11179,1217
23.02.16,611,11148,1882
22.02.16,558,11137,1135
21.02.16,546,10976,1019
20.02.16,470,11431,1068
19.02.16,579,11517,1519
18.02.16,641,11513,1280
17.02.16,580,11749,1244
16.02.16,486,11526,836
15.02.16,432,10906,976
14.02.16,426,10356,809
13.02.16,518,10338,851
12.02.16,548,11353,3522
11.02.16,667,11295,1197
10.02.16,604,11596,980
09.02.16,590,11277,1133
08.02.16,574,10701,1308
07.02.16,494,10486,1896
06.02.16,550,10050,1893
05.02.16,550,10271,1072
04.02.16,647,10319,1430
03.02.16,650,10647,1241
02.02.16,662,10175,1511
01.02.16,662,10003,1711
31.01.16,646,9359,1222
30.01.16,547,9476,1556
29.01.16,648,10127,1582
28.01.16,606,9865,1755
27.01.16,761,10586,2044
26.01.16,666,10771,1547
25.01.16,620,10687,1392
24.01.16,538,10659,1099
23.01.16,553,10016,985
22.01.16,702,11530,1223
21.01.16,681,11878,1344
20.01.16,610,11503,1137
19.01.16,632,10696,1312
18.01.16,632,11346,1169
17.01.16,643,11036,1210
16.01.16,589,11154,1135
15.01.16,731,12215,1349
14.01.16,803,10887,1312
13.01.16,920,11229,1531
12.01.16,954,11111,1486
11.01.16,880,10744,1215
10.01.16,949,10220,1316
09.01.16,684,9971,980
08.01.16,815,10362,1282
07.01.16,665,10241,1049
06.01.16,644,10084,870
05.01.16,742,10368,1078
04.01.16,747,9212,911
03.01.16,931,9499,1241
02.01.16,671,9484,957
01.01.16,644,7990,889
31.12.15,559,9173,706
30.12.15,631,10120,857
29.12.15,619,9621,1331
28.12.15,723,9057,1089
27.12.15,643,8912,920
26.12.15,738,8706,896
25.12.15,589,7758,815
24.12.15,655,8756,721
23.12.15,816,10048,917
22.12.15,860,10605,3051
21.12.15,883,9827,1731
20.12.15,704,9271,818
19.12.15,754,9325,1115
18.12.15,897,10450,1795
17.12.15,840,10391,2931
16.12.15,903,10326,1313
15.12.15,763,10941,889
14.12.15,885,10352,1272
13.12.15,854,9549,1246
12.12.15,750,10295,899
11.12.15,681,10112,1017
10.12.15,714,10219,1212
09.12.15,898,10570,1776
08.12.15,646,10188,761
07.12.15,806,9275,1117
06.12.15,661,8772,2045
05.12.15,715,8621,1548
04.12.15,640,8964,788
03.12.15,595,9315,1106
02.12.15,589,9196,2018
01.12.15,466,9219,1250
30.11.15,524,9420,2154
29.11.15,484,9169,498
28.11.15,409,8402,617
27.11.15,438,8852,692
26.11.15,488,9100,1837
25.11.15,501,9050,1722
24.11.15,493,8734,1381
23.11.15,450,8821,553
22.11.15,430,8199,1667
21.11.15,457,8619,1754
20.11.15,449,8918,1084
19.11.15,522,8920,1586
18.11.15,520,8667,1707
17.11.15,614,8853,1836
16.11.15,500,8103,1763
15.11.15,391,7419,1525
14.11.15,373,7801,475
13.11.15,479,7959,1234
12.11.15,469,8792,1364
11.11.15,463,9022,2671
10.11.15,580,9169,1752
09.11.15,520,9135,1888
08.11.15,438,8984,1315
07.11.15,467,8982,2082
06.11.15,382,6837,1242
05.11.15,633,10176,1844
04.11.15,716,13606,1893
03.11.15,618,12169,2339
02.11.15,532,9749,1091
01.11.15,391,8357,492
31.10.15,427,9158,3143
30.10.15,468,10295,5768
29.10.15,491,10471,5000
28.10.15,588,10317,6194
27.10.15,581,9670,5491
26.10.15,541,9311,6600
25.10.15,441,9209,4090
24.10.15,409,8468,5166
23.10.15,463,8754,4808
22.10.15,474,9195,5047
21.10.15,442,8816,3846
20.10.15,397,8988,1326
19.10.15,414,9062,1519
18.10.15,358,8557,1518
17.10.15,336,9095,1724
16.10.15,363,8619,1197
15.10.15,364,8618,2016
14.10.15,385,8480,880
13.10.15,408,8992,374
12.10.15,372,8747,290
11.10.15,328,8002,276
10.10.15,315,7661,284
09.10.15,360,8380,291
08.10.15,343,9267,332
07.10.15,349,8526,266
06.10.15,379,9130,288
05.10.15,368,9027,228
04.10.15,311,8269,214
03.10.15,309,8290,185
02.10.15,367,9032,241
01.10.15,375,9203,230
30.09.15,331,9607,232
29.09.15,356,9438,252
28.09.15,366,8682,211
27.09.15,322,8176,198
26.09.15,316,8373,241
25.09.15,381,8861,233
24.09.15,395,8989,233
23.09.15,357,8850,239
22.09.15,410,9867,265
21.09.15,347,9527,224
20.09.15,294,8224,204
19.09.15,237,7582,254
18.09.15,378,8914,207
17.09.15,356,9498,264
16.09.15,347,10085,249
15.09.15,370,9867,268
14.09.15,336,10234,251
13.09.15,309,8764,265
12.09.15,303,8293,248
11.09.15,350,9405,229
10.09.15,364,9924,273
09.09.15,319,9626,344
08.09.15,375,9775,255
07.09.15,342,9370,295
06.09.15,370,8277,321
05.09.15,309,8038,297
04.09.15,365,8808,333
03.09.15,405,9460,285
02.09.15,365,9223,244
01.09.15,393,9130,313
31.08.15,372,8820,625
30.08.15,365,7712,560
29.08.15,383,8120,372
28.08.15,331,8364,347
27.08.15,418,9008,357
26.08.15,375,9536,329
25.08.15,353,9977,313
24.08.15,488,9733,358
23.08.15,296,7955,241
22.08.15,334,8244,388
21.08.15,374,9133,237
20.08.15,380,9535,284
19.08.15,453,9933,358
18.08.15,458,9975,292
17.08.15,380,8697,305
16.08.15,278,8093,220
15.08.15,332,8024,243
14.08.15,329,8489,224
13.08.15,401,8851,281
12.08.15,402,8711,290
11.08.15,413,9382,296
10.08.15,427,9182,306
09.08.15,432,8921,310
08.08.15,523,7988,331
07.08.15,437,8467,372
06.08.15,453,8834,283
05.08.15,446,9132,268
04.08.15,419,9416,248
03.08.15,359,9132,374
02.08.15,304,7881,710
01.08.15,448,8002,820
31.07.15,381,8492,242
30.07.15,415,8372,294
29.07.15,390,8612,254
28.07.15,430,8975,318
27.07.15,396,8528,503
26.07.15,303,7442,715
25.07.15,349,7405,661
24.07.15,365,7363,240
